EmployeeID,Name,Department,Age,Experience,Salary,Gender,City
348,Lucas,Sales,53.0,7.0,52893.0,Female,Mumbai
340,Sophia,Marketing,53.0,15.0,70727.0,Male,Chennai
171,James,HR,40.0,6.0,62442.0,Male,Bengaluru
237,James,Finance,54.0,13.0,83865.0,Female,Hyderabad
488,James,Sales,24.0,3.0,50436.0,Female,Delhi
449,Mason,Finance,52.0,15.0,85248.0,Male,Pune
184,Amelia,Sales,41.0,20.0,,Female,Delhi
335,Sophia,IT,28.0,7.0,63244.0,Female,Mumbai
557,Amelia,IT,38.0,7.0,60524.0,Female,Chennai
416,Aiden,Sales,57.0,5.0,46131.0,Male,Mumbai
458,Noah,Operations,53.0,7.0,56952.0,Female,Pune
541,Smith,HR,23.0,2.0,45178.0,Female,Delhi
520,Lucas,IT,38.0,4.0,56523.0,Male,Delhi
158,Emma,Marketing,53.0,3.0,52771.0,Female,Mumbai
437,Ella,Sales,30.0,,56711.0,Female,Bengaluru
341,Olivia,Operations,,4.0,57942.0,Male,Chennai
338,Ava,IT,33.0,5.0,59898.0,Male,Pune
399,Ethan,Marketing,57.0,10.0,58478.0,Male,Delhi
432,Isla,HR,38.0,17.0,64112.0,Male,Delhi
161,Noah,Sales,31.0,10.0,50558.0,Male,Delhi
229,Smith,IT,43.0,11.0,70573.0,Female,Bengaluru
291,John,Operations,25.0,0.0,49333.0,Female,Chennai
373,Lucas,IT,33.0,9.0,69834.0,Male,Mumbai
380,Liam,Marketing,39.0,3.0,47869.0,Female,Bengaluru
552,Ava,Finance,53.0,26.0,97645.0,Male,Hyderabad
375,Sophia,HR,23.0,2.0,49365.0,Male,Pune
514,Noah,HR,25.0,4.0,51139.0,Male,Hyderabad
344,Smith,Finance,58.0,14.0,79932.0,Female,Bengaluru
140,Emma,IT,31.0,10.0,75303.0,Female,Hyderabad
454,Liam,Operations,38.0,17.0,63898.0,Male,Mumbai
511,Olivia,Sales,30.0,9.0,54348.0,Female,Bengaluru
412,John,Operations,48.0,3.0,47365.0,Male,Chennai
382,Harper,Marketing,22.0,1.0,53178.0,Male,Chennai
420,Isla,Finance,38.0,15.0,82703.0,Male,Pune
240,Olivia,Finance,59.0,20.0,82817.0,Male,Chennai
546,Grace,Sales,46.0,25.0,77769.0,Female,Hyderabad
386,Sophia,IT,30.0,9.0,67684.0,Male,Mumbai
559,Liam,Marketing,59.0,5.0,,Female,Bengaluru
